"post_id","title","content","tags","publish_time"
"39","求","西太后平替！！！\n昨天刷到一个要西太后平替的宝宝！！！我买过我买过！！！我感觉特别特别真！！而且不贵！！但是我找不到那个宝宝了\ne！！宝宝看到了评论一\n下我把店铺发你！！\n！！！！哪个宝宝想要我都可\n以分享！！！","二手交易","2026-04-01 08:25:10"
"40","雨伞","出一把伞只用过一次","二手交易","2026-04-01 08:25:40"
"41","出卡","🈶🈚️人收🥚团三专卡 刚拆未绑 默认出厂瑕\n留下一串神秘暗号：YSss81609","二手交易","2026-04-01 08:26:21"
"42","英语书","便宜出全新考研英语红宝书","二手交易","2026-04-01 08:26:38"
"43","回收","浦江高价回收白银，白银纪念币，银条银块，银手镯，银首饰等等\n高价回收黄金，足金，k金，铂金等等","二手交易","2026-04-01 08:26:57"
"44","出显示器","出显示器sanc g52max 2k 180hz 去年10月底购买\n送nb f80 机械臂 480 只有dp线","二手交易","2026-04-01 08:27:14"
"45","仓鼠设施","便宜出一套养仓鼠的设施，包括粮食尿沙","二手交易","2026-04-01 08:27:54"
"46","求书📖、","收概率论与数理统计，求求了，收了好久都没收到","二手交易","2026-04-01 08:28:14"
"47","太多了，出","画线豆板买多了，出售。可拼接的52钉。2.5元一个！","二手交易","2026-04-01 08:28:46"
"48","小推车有人要嘛","出小推车 可折叠 12r\n出擦鞋湿巾 2r一包 三包一共5r","二手交易","2026-04-01 08:29:07"
"49","收一个","有人出轮滑鞋吗？","二手交易","2026-04-01 08:29:41"
"50","个人闲置","薰风琉璃 送两个手胶 有袋子 可小刀","二手交易","2026-04-01 08:30:05"
"51","手机手机📱","收适合打王者的安卓机","二手交易","2026-04-01 08:30:22"
"52","找搭子","有没有家禾打算4.30出发去民勤的？求搭子","互助","2026-04-01 12:36:55"
"53","你真棒","拿书、笔去占座，还有拿纸的，一个人占一整排的👍👍👍。","吐槽","2026-04-01 12:37:15"
"54","问一下","学校的昊景 笔记本清灰技术怎么样 有没有试过的","树洞","2026-04-01 12:37:40"
"55","有没有顺风车","星期五有能顺风车带我回金坛吗😭","互助","2026-04-01 12:38:04"
"56","看到私信，挺急的","有人在二食堂二楼靠窗沙发位置看见一个黄白色托特包吗😭","失物招领","2026-04-01 12:38:37"
"57","救救孩子","大四毕业论文设计系统申请怎么弄啊，专业老师让我们自己去教务系统申请？却没告诉我们怎么弄啊咋申请啊？导师也没说怎么办😢#大四论文","树洞","2026-04-01 12:39:15"
"58","有要求嘛","想问问拍学信网照片可以化妆吗？ 眼镜能戴吗？","树洞","2026-04-01 12:39:47"
"59","求问","计算机二级有用嘛","互助","2026-04-01 12:40:23"
"60","避雷","二食堂四楼好再来的土豆丝里吃出巨长的一根塑料条，避雷","吐槽","2026-04-01 12:40:45"
"61","很急，有偿谢谢🙏","有没有人捡到一个红色的小包啊，很小，里面装着一个U盘和一个U盘转换器，找到了有偿谢谢","二手交易","2026-04-01 12:41:32"
"62","有需要的嘛","有宝宝想考caac无人机驾照吗 可以联系我 包就业 国家重点扶持项目 现在价超低 已经有caac执照的想找工作也可以联系我 南京上海乌镇均有基地 \n有各大高校招生招聘会联系方式的也找我","树洞","2026-04-01 12:42:15"
"63","加","接running 可➕","互助","2026-04-01 12:42:35"
"64","急急急","找跑腿 急急急 价格好说！","互助","2026-04-01 12:42:54"
"65","？","为啥水果店臭臭的","吐槽","2026-04-01 12:43:12"
"66","找拼车","有没有27号早上去考空港新城考科三的 可以一块拼个车","互助","2026-04-01 12:43:38"
"67","现在可以出","出一个校园网大概多少钱","互助","2026-04-01 12:44:06"
"68","算是有点小失望","很难过为什么我们学校瑞幸没有树莓美式","吐槽","2026-04-01 12:44:27"
"69","找代买","这两天有木有去玄武区艾尚天地的朋友，求代买一个痛包","互助","2026-04-01 12:44:45"
"70","表白王童","表白高三二班王童","表白墙","2026-04-01 12:50:35"
"71","表白杨皓程","表白高三二班杨皓程","表白墙","2026-04-01 12:51:10"
"72","避雷高三二班王童","避雷避雷","吐槽","2026-04-01 12:53:25"
"73","避雷杨皓程","避雷高三二班杨皓程","吐槽","2026-04-01 12:53:46"
"74","真的是，什么神人，tm","我的大爸呀 晚上把自己书明晃晃就放在桌子上占位的人啥心态啊。","吐槽","2026-04-01 12:53:54"
"75","表白高三二班姜厚宇","表白高三二班姜厚宇","表白墙","2026-04-01 12:54:15"
"76","同学，你的初音谷子掉了","失物招领 在L9-302第二排桌子上","失物招领","2026-04-01 12:54:27"
"77","直接私信我就好","溧水首家巴斯克芝士蛋糕单品店，想吃巴斯克可以加这个微信，包好吃的😋","互助","2026-04-01 12:54:51"
"78","不懂","学校放的啥歌啊我笑吐了","吐槽","2026-04-01 12:55:11"
"79","避雷","避雷姜厚宇","吐槽","2026-04-01 12:55:15"
"80","想问问大家","想问一下校级的大创项目结项的时候需要答辩什么的吗","互助","2026-04-01 12:55:33"
"81","价格公道","出一张南门铜锅鸡团购券，原价78，70出","二手交易","2026-04-01 12:56:04"
"82","找不到办公室😭","请问有人知道形势与政策老师的办公室在哪","互助","2026-04-01 12:56:24"
"83","找搭子，","有没有人可以一起去看薛之谦南京场的😍","互助","2026-04-01 12:56:44"
"84","价格好说","接L16B长期短期代寝，每天都可以","树洞","2026-04-01 12:57:11"
"85","💥","求充电宝推荐，对电池友好的，iPhone用一年半电池掉79%了.....","互助","2026-04-01 12:58:09"
"86","求问","那个ms计算机二级选择题，背那个第一学期电脑课的那个300百道题，可以吗","互助","2026-04-01 12:58:34"
"87","找同伴，有一起去玩的嘛","4.4有没有去南京欢乐谷的，凑大学生四人票差两个人","互助","2026-04-01 12:59:16"
"88","避雷","曾经有个女孩在航天追了我二十八分钟，我拒绝了她无数次，可她依旧对我不依不饶，我祝她新年快乐，可她却把枪口对准了我的头","吐槽","2026-04-01 12:59:17"
"89","问","哪个牌子的鞋子好穿啊，想买双薄荷绿的日常鞋子，不要太贵的大牌鞋","互助","2026-04-01 12:59:35"
"90","这种直接斩首","byd,c5二楼上完厕所能不能冲一下啊，四亩玩意不冲厕所，恶心死了","吐槽","2026-04-01 13:00:11"
"91","出","出衣架 0.3r/个 不变形","二手交易","2026-04-01 13:00:56"
"92","😡","一号门霸王茶姬奶茶\n谁偷了我的霸王茶姬！！😡😡😡\n11.40左右，放在主校区一号门放在进校门口左手边，外卖铁架子上，蓝色袋子，里面是两杯奶茶，被谁拿走了？\n已经报警处理，去保安室调监控了，希望你自觉还回来，否则我只能把你大头照挂集市了🤪","互助","2026-04-01 13:03:30"
"93","出租","租佳能ixus130\n想租佳能ixus130 大概下下周用 带价来 还有联系方式","二手交易","2026-04-01 13:03:57"
"94","没人会再理解我了","我把你的照片一张张删掉，删到最后一张，手指悬在屏幕上，怎么也点不下去。原来删除一个人，比爱上一个人，要慢得多。","树洞","2026-04-01 13:04:08"
"95","避雷","茶瀑布旁的水果店水果是坏的\n谁有这个水果店的微信，买的菠萝是坏的，芯都黑了","吐槽","2026-04-01 13:04:19"
"96","求助","学生社区活动空间在哪！\n下午pu活动，但我不知道在哪","互助","2026-04-01 13:04:36"
"97","今天如往日依旧","凌晨三点又醒了，拿起手机想给你发消息，打到一半才想起来，我们已经没有“我们”了。","树洞","2026-04-01 13:04:42"
"98","道歉","四号门外卖柜\n刚才去取外卖，打开外卖平台看我的外卖被存在368号柜，结果一直扫扫不开，我以为骑手输错号码了就用实名打开，结果拿出来发现不是我的，刚好有个小姐姐过来，当时太着急忘记说清楚了，后来打电话给骑手才知道我的外卖被送到二号门了。真的很抱歉不是故意拿的🙏🏻🙏🏻🙏🏻","互助","2026-04-01 13:05:09"
"99","只是想表达一下，没别的意思","你走之后，我才知道原来一个人真的可以把眼泪流干。不是那种嚎啕大哭，是躺在床上，眼泪自己滑进头发里，安静得连自己都害怕。","树洞","2026-04-01 13:05:14"
"100","避雷","校园配送\nmd，沟槽的校园配送，点个外卖每次都要取消一次。今天选了配送到4号门，可能是页面刷新了，没注意，成校园配送了，真ex","吐槽","2026-04-01 13:05:32"
"101","求助","四六级咨询\n请问毕业班还可以考四六级吗，5月毕业，考试时间是6月多啊","互助","2026-04-01 13:05:49"
"102","愿与君共赏","我假装自己已经好了，假装到有一天，我真的分不清是在假装还是真的好了。直到路过我们一起去过的奶茶店，所有假装在那一秒碎得干干净净。","树洞","2026-04-01 13:05:58"
"103","避雷","避雷贴子避雷\n避雷二号门门口卖草莓的老爷爷，把好果子放在上面，烂果放在下面，幸亏我吃之前翻一下，下面的果子都发霉了，一级致癌物，好恐怖꒰꒪꒫꒪⌯꒱","吐槽","2026-04-01 13:06:04"
"104","可恶","谁偷了我的霸王茶姬\n主校区一号门放在进校门口左手边，外卖铁架子上，蓝色袋子，里面是两杯奶茶，被谁拿走了？已经去保安室调监控了，希望你自觉还回来，否则我只能把你大头照挂集市了","吐槽","2026-04-01 13:06:25"
"105","问","帮人代课市场价多少\n不懂现在代课应该收多少了，正常不是20一节课么？为什么两节课30的越来越多？要是水课还能理解，那种要签到还要做题的不应该加价么？","互助","2026-04-01 13:06:58"
"106","😮‍💨","洗澡的时候水顺着锁骨往下流，我闭上眼睛，假装那是你的指尖。可水是热的，你离开之后，再也没有什么东西能让我真正暖起来。","表白墙","2026-04-01 13:07:08"
"107","出","出拍立得相纸\n东山校区可自提 mini相纸64/ 日期到今年九月份","二手交易","2026-04-01 13:07:20"
"108","问","瑞幸一整颗生椰\n谁知道学校里面的瑞幸的一整颗生椰还会补货吗","互助","2026-04-01 13:07:37"
"109","下一个会更好，吗","以前你说喜欢看我穿那件吊带，松松垮垮地挂在肩上。现在我穿着它对着镜子，自己把肩带一根一根拨下来，看着锁骨和胸口慢慢露出来。可你的目光，再也没有落在我身上。","表白墙","2026-04-01 13:07:50"
"110","问","优秀共青团员申请\n优秀共青团员申请2025年必须要20个志愿时长吗，必须2025年吗，没有就不可以申请吗😭是志愿汇里的时长吗","互助","2026-04-01 13:07:51"
"111","问","这个表是干啥用的呀\n《学生干部培训班推荐表》这是干啥用的呀？每个担任班级职位的人都要填吗？","互助","2026-04-01 13:08:07"
"112","收","收十张拍立得相纸\n60块钱收十张拍立得相纸","二手交易","2026-04-01 13:08:20"
"113","收","收商务英语函电微课版\n有没有人出","二手交易","2026-04-01 13:08:34"
"114","出","租SQ1拍立得 4.6一天","二手交易","2026-04-01 13:08:50"
"115","收","收专四单词书\n主校区收华研专四单词书","二手交易","2026-04-01 13:09:07"
"116","求","捞人捞人\n三江东校区十点多一点在一楼食堂的两个女生里高高的那个好可爱呀 可以加个微信嘛 有对象的话就算啦","表白墙","2026-04-01 13:09:25"
"117","问","三教询问\n请问在三教丢失的物品去哪里寻找啊","失物招领","2026-04-01 13:09:39"
"118","春天的味道","凌晨四点，李大爷已经背着竹篓上山了。露水打湿了裤脚，手上的老茧又厚了一层。今年风调雨顺，果子结得比往年都好，又大又甜。可大爷对着满山的果子却犯了愁——孩子们都进城了，这上万斤的果子，靠他一双手，要怎么摘？怎么卖？\n\n我们尝过了，是真的甜，是那种吸饱了阳光、没有被催熟的自然的甜。\n\n如果你刚好需要，或者想尝尝大山里的味道，请给李大爷一个机会。你的一份助力，就是他这一季所有的盼头。\n\n📍产地直发，现摘现发，坏果包赔。","助农","2026-04-01 13:10:32"
"119","别闹","食堂食品安全\n食堂你别闹了，还没吃呢","吐槽","2026-04-01 13:10:39"
"120","需要的来","🌽 它不是超市里那种一咬就碎的水果玉米。\n它来自海拔1200米的高山，是农户自家留种的土玉米。\n没有农药，没有催熟。\n吃起来是小时候的味道，糯、甜、有嚼劲。\n\n爷爷说，这是他最后一季种玉米了，腰不行了。\n地里还有三千斤，卖完就收山。\n\n👉 一箱10斤，包邮。就当尝尝什么叫“粮食的味道”。","助农","2026-04-01 13:10:56"
"121","问","今天焗饭有什么\n如题，想知道今天焗饭是什么","互助","2026-04-01 13:12:16"
"122","帮卖","这个村子叫石头村，因为地少石头多，庄稼不好长。但就是这片贫瘠的土地，长出了最甜的蜜薯。\n\n王婶是村里唯一的留守妇女，丈夫在工地摔伤了腿，儿子还在读高中。三亩蜜薯，是她家今年所有的指望。\n\n我们问她：“婶，这蜜薯甜不甜？”\n她拿了一个，用指甲掐开皮，橙红色的薯肉露出来，咬了一口，笑着说：“甜，甜得很。就是……不知道能不能卖出去。”\n\n她笑的时候，眼睛里有光，也有泪。\n\n石头村蜜薯，甜度实测27+，烤着吃流蜜，蒸着吃软糯。\n帮王婶一把，也帮这片石头缝里长出的甜，找到一条出路。","助农","2026-04-01 13:12:24"
"123","问","大三大四\n大三大四是不是都可以不用在学校上课了，出去实习？","互助","2026-04-01 13:12:38"
"124","收","收拍立得\n收拍立得相纸\n联系方式：1234567890","失物招领","2026-04-01 13:13:07"
"125","绝对甜，不甜你直接cs我","🍊 高山丑橘，外表丑，内心甜。\n一箱只要💰29.9，还包邮！\n这个价格，超市连半箱都买不到！\n\n信我，买它！不好吃你来骂我！","助农","2026-04-01 13:13:11"
"126","问","大一到大二可能分班吗\n问问学长学姐","互助","2026-04-01 13:13:28"
"127","问","有没有数媒群啊想转专业打听打听\n想打听打听数媒学的东西课表啥的有没有群啊","互助","2026-04-01 13:13:56"
"128","求","租校园网一个设备接受15-20/月\n求租一个校园网如题","二手交易","2026-04-01 13:14:15"
"129","问","求问医务室\n请假是发烧必须开证明才能请吗？导员之前也没让开证明请假？\n医务室几点开门？","互助","2026-04-01 13:14:29"
"130","问","大四还有课吗\n汉语言大四还有课吗 不是应该大三就结课了吗。。。整个大四什么安排啊","互助","2026-04-01 13:14:41"
"131","出","创青春出\n出书","二手交易","2026-04-01 13:15:10"
"132","求","暑假留校\n求求求，暑假可以留校在外面兼职吗","互助","2026-04-01 13:15:28"
"133","送","南京南站星巴克免费送\n差点没赶上高铁所以没来得及取餐，如果哪位同学在南京南站的话可以免费拿","二手交易","2026-04-01 13:16:22"
"134","有些人配活着？","妈的，一本书，一支笔，一张纸，你占你妈的座呢，纯cs。但凡有点脸呢，你有人在那里也就算了，没人一整排你也敢占，mdbyd，下次看见直接把你书扔厕所，cao","吐槽","2026-04-01 13:16:26"
"135","出","出九九新高漫数位板\n出高漫1060PRO数位板手绘板电脑手写板输入写字板绘画板电子绘图板，110出售，数位板没有问题，只是自己用不到了，详谈","二手交易","2026-04-01 13:16:55"
"136","出","出九九新高漫数位板\n出高漫1060PRO数位板手绘板电脑手写板输入写字板绘画板电子绘图板，110出售，数位板没有问题，只是自己用不到了，详谈","二手交易","2026-04-01 13:16:56"
"137","问","大二申请不住宿需要什么证明和手续","互助","2026-04-01 13:17:14"
"138","神人","图书馆你打游戏？躺床上不香，开麦真给我整笑了","吐槽","2026-04-01 13:17:27"
"139","道歉","八号楼噪音\n  很抱歉兄弟们 今天晚上吵架太厉害了  吵到你们休息了  很抱歉  八号楼兄弟们","互助","2026-04-01 13:17:55"
